engagement,mf,rf,nncf,intercept
like,11.647919876905869,1.3963699553481372,0.0697410798905738,-0.21247717672524832
reply,0.0,3.5248383928063647,-0.0071406528783916285,-0.060057769655475886
retweet,5.404510049449504,1.4212783047127924,-0.013287316189294168,-0.03664115541637231
retweet_with_comment,0.0,0.06055828858411157,0.002642462711638882,0.00499600208170325
